university,program,description,link
University of Ottawa,Honours BA with major in History,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/36
University of Ottawa,Honours BA in Linguistics,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/37
University of Ottawa,Joint Honours BA in Psychology and Linguistics,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/38
University of Ottawa,Honours BA with major in Second Language Teaching,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/40
University of Ottawa,Joint Honours BA in History and Political Science,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/41
University of Ottawa,Honours BA in History,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/42
University of Ottawa,Honours BA in Music,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/44
University of Ottawa,Honours BA with major in Indigenous Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/49
University of Ottawa,Three-year General Bachelor of Arts,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/50
University of Ottawa,Honours BA in Theatre,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/52
University of Ottawa,Honours BA with major in French as a Second Language,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/53
University of Ottawa,Honours BA in Geography,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/54
University of Ottawa,Honours BA with major in Geography,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/55
University of Ottawa,Bachelor of Music (BMus),"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/56
University of Ottawa,Honours BA in Religious Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/59
University of Ottawa,Honours BA in Second Language Teaching (ESL or FLS),"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/66
University of Ottawa,Honours BA in Public Relations,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/69
University of Ottawa,Bachelor of Music/Honours Bachelor of Science with Major,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/70
University of Ottawa,Honours BA in Digital Journalism,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/73
University of Ottawa,Honours BA with major in Greek and Roman Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/74
University of Ottawa,Bachelor of Fine Arts (BFA) in Acting,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/81
University of Ottawa,Honours BA in Ethics and Political Philosophy,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/83
University of Ottawa,Bachelor of Arts Interdisciplinary Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/84
University of Ottawa,Honours BA in World Languages and Cultures,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/93
University of Ottawa,Teacher Education,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/111
University of Ottawa,BASc in Biomedical Mechanical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/136
University of Ottawa,BASc in Computer Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/137
University of Ottawa,BASc in Civil Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/138
University of Ottawa,BASc in Electrical Engineering/BSc in Computing Technology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/139
University of Ottawa,BASc in Electrical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/141
University of Ottawa,BASc in Mechanical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/142
University of Ottawa,BASc in Software Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/144
University of Ottawa,BASc in Chemical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/147
University of Ottawa,BASc in Chemical Engineering/BSc in Computing Technology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/148
University of Ottawa,Honours BSc in Biochemistry (biotechnology)/BASc in Chemical Engineering (biotechnology),"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/149
University of Ottawa,Joint Honours BSc in Computer Science and Mathematics,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/150
University of Ottawa,Honours BSc in Computer Science,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/151
University of Ottawa,BASc in Mechanical Engineering/BSc in Computing Technology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/152
University of Ottawa,BASc in Biomedical Mechanical Engineering and BSc in Computing Technology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/158
University of Ottawa,BASc in Civil Engineering/BSc in Computing Technology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/159
University of Ottawa,Honour BSc in Physics/BASc in Electrical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/161
University of Ottawa,Honours BSc in Biochemistry (biotechnology)/BASc in Chemical Engineering (biotechnology) with Biomedical Engineering,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/162
